timestamp,user_query,section_title,summary_response
2025-05-04T21:04:53,What's the process for screen setup?,,Warp files provide image configuration information to support projection in environments with multipleprojectors and complex screen shapes. Warp files are created using an automated process through Christie Mystique. Copying existing screen file settings to a new screen file is a quick and easy way to duplicate settings. Deleting a screen file when it is no longer required is a more complex process.
2025-05-05T07:16:12,Tell me about sensor alignment,,"Field Name encompasses 2D, 3D, and 4D images. Field Name includes: 2D Sensor-to-screenCalibration File; 3D sensor- to-screen calibration file; 4D sensor to screen calibration file. Field name includes: 4D Sensor to screen Calibration file, 4D Camera to screen. Fieldname includes: 3D Camera, 2D camera, 4K camera."
2025-05-05T07:18:29,What is lens reset?,,"Intelligent Lens System (ILS) automatically recognizes and calibrates a lens. On CineLife+ projectors, the ILS is enabled by default. Learn how to enable and modify projector image settings. Adjusting the image size and position. adjusting the lens' position. adjust the image's zoom and focus."
2025-05-05T07:19:28,Tell me how to adjust the brightness?,,"The Sensor-to-screen Calibration wizard guides you through the steps required to create a new calibration file. The projector checks if the light source is on and the douser is open. If either condition is not met, a warning dialog is displayed prompting you to make sure these conditions are met before starting the wizard."
2025-05-05T07:21:13,What is Keystone Correction,,Christie recommends warming the lens before completing these procedures as focus may change as the lens warms. Christie recommends adjusting the projector image by moving the entire projector in the direction of lens travel. The keystone effect occurs when you project an image onto the screen at an angle. It can be corrected with electronic cropping or by adjusting the light source.
2025-05-05T08:26:23,What is Keystone Correction,,Christie recommends warming the lens before completing these procedures as focus may change as the lens warms. Christie recommends adjusting the projector image by moving the entire projector in the direction of lens travel. The keystone effect occurs when you project an image onto the screen at an angle. It can be corrected with electronic cropping or by adjusting the light source.
2025-05-05T08:26:57,What is lens reset?,,"Intelligent Lens System (ILS) automatically recognizes and calibrates a lens. On CineLife+ projectors, the ILS is enabled by default. Learn how to enable and modify projector image settings. Adjusting the image size and position. adjusting the lens' position. adjust the image's zoom and focus."
2025-05-05T14:36:42,what is calibration,,"The Sensor-to-screen Calibration wizard guides you through the steps required to create a new calibration file. The projector checks if the light source is on and the douser is open. If either condition is not met, a warning dialog is displayed prompting you to make sure these conditions are met before starting the wizard."
2025-05-05T14:41:04,tell me about sensor alignment,,"Field Name encompasses 2D, 3D, and 4D images. Field Name includes: 2D Sensor-to-screenCalibration File; 3D sensor- to-screen calibration file; 4D sensor to screen calibration file. Field name includes: 4D Sensor to screen Calibration file, 4D Camera to screen. Fieldname includes: 3D Camera, 2D camera, 4K camera."
2025-05-10T05:52:48,what is the calibration,,"The Sensor-to-screen Calibration wizard guides you through the steps required to create a new calibration file. The projector checks if the light source is on and the douser is open. If either condition is not met, a warning dialog is displayed prompting you to make sure these conditions are met before starting the wizard."
2025-05-10T05:53:19,what is the calibration,,"The Sensor-to-screen Calibration wizard guides you through the steps required to create a new calibration file. The projector checks if the light source is on and the douser is open. If either condition is not met, a warning dialog is displayed prompting you to make sure these conditions are met before starting the wizard."
2025-05-10T05:54:41,what is the calibration,,"The Sensor-to-screen Calibration wizard guides you through the steps required to create a new calibration file. The projector checks if the light source is on and the douser is open. If either condition is not met, a warning dialog is displayed prompting you to make sure these conditions are met before starting the wizard."
2025-05-10T05:57:29,what is automation,,"Use automation to control playback, the projector, and external devices. A macro is a list of actions you define. An input cue in a playlist delays playback until an event occurs. On CP4450-RGB projectors, playback automation is controlled through the GDC Integrated MediaBlock (IMB)"
2025-05-10T05:58:15,show me rental mode,,"Rental Mode licenses are applied to the projector and control the operation of the projector. The Brightness Restriction functionality is only available for CineLife+ projectors running v1.3.0 or later. If your projector is a rental unit provided by a vendor, you must apply a rental license to enable certain features."
2025-05-10T07:04:23,what is calibration,,"The Sensor-to-screen Calibration wizard guides you through the steps required to create a new calibration file. The projector checks if the light source is on and the douser is open. If either condition is not met, a warning dialog is displayed prompting you to make sure these conditions are met before starting the wizard."
2025-05-10T07:07:44,what is a keystone,,Christie recommends warming the lens before completing these procedures as focus may change as the lens warms. Christie recommends adjusting the projector image by moving the entire projector in the direction of lens travel. The keystone effect occurs when you project an image onto the screen at an angle. It can be corrected with electronic cropping or by adjusting the light source.
2025-05-10T07:09:21,what is calibration,,"The Sensor-to-screen Calibration wizard guides you through the steps required to create a new calibration file. The projector checks if the light source is on and the douser is open. If either condition is not met, a warning dialog is displayed prompting you to make sure these conditions are met before starting the wizard."
2025-05-10T07:10:11,what is calibration,,"The Sensor-to-screen Calibration wizard guides you through the steps required to create a new calibration file. The projector checks if the light source is on and the douser is open. If either condition is not met, a warning dialog is displayed prompting you to make sure these conditions are met before starting the wizard."
2025-05-10T07:11:36,how to  work with Channel,,The channel list displays all of the available channels. Renaming a channel. Copying existing channel settings to a newchannel. Editing an existing channel when the parameters of the input device change. Viewing the channel list from the bottom of the page. The channel list is sorted by channel name.
